Species name,Genus,Major group
Astragalus oxyodon,Astragalus,Angiosperm
Astragalus pallasii,Astragalus,Angiosperm
Astragalus pamirensis,Astragalus,Angiosperm
Astragalus parvicarinatus,Astragalus,Angiosperm
Astragalus pavlovii,Astragalus,Angiosperm
Astragalus peduncularis,Astragalus,Angiosperm
Astragalus pendulatopetalus,Astragalus,Angiosperm
Astragalus perbrevis,Astragalus,Angiosperm
Astragalus persepolitanus,Astragalus,Angiosperm
Astragalus persimilis,Astragalus,Angiosperm
Astragalus peterae,Astragalus,Angiosperm
Astragalus petraeus,Astragalus,Angiosperm
Astragalus petrovii,Astragalus,Angiosperm
Astragalus pilutschensis,Astragalus,Angiosperm
Astragalus pindreensis,Astragalus,Angiosperm
Astragalus pishanxianensis,Astragalus,Angiosperm
Astragalus platyphyllus,Astragalus,Angiosperm
Astragalus polyceras,Astragalus,Angiosperm
Astragalus polycladus,Astragalus,Angiosperm
Astragalus porphyreus,Astragalus,Angiosperm
Astragalus porphyrocalyx,Astragalus,Angiosperm
Astragalus praeteritus,Astragalus,Angiosperm
Astragalus przewalskii,Astragalus,Angiosperm
Astragalus przhevalskianus,Astragalus,Angiosperm
Astragalus pseudoamabilis,Astragalus,Angiosperm
Astragalus pseudoborodinii,Astragalus,Angiosperm
